times,values
2019-04-01,0.72885406
2019-04-02,0.74072033
2019-04-03,0.74372625
2019-04-04,0.74653214
2019-04-05,0.75888443
2019-04-06,0.6833458
2019-04-07,0.63574326
2019-04-08,0.7459474
2019-04-09,0.76251495
2019-04-10,0.759373
2019-04-11,0.75459355
2019-04-12,0.7375038
2019-04-13,0.6587514
2019-04-14,0.6067152
2019-04-15,0.70565194
2019-04-16,0.7129129
2019-04-17,0.7068962
2019-04-18,0.6336452
2019-04-19,0.5849293
2019-04-20,0.59828115
2019-04-21,0.575851
2019-04-22,0.6228929
2019-04-23,0.6914404
2019-04-24,0.7378628
2019-04-25,0.7399479
2019-04-26,0.72235155
2019-04-27,0.64147675
2019-04-28,0.58003455
2019-04-29,0.6816411
2019-04-30,0.69318813
2019-05-01,0.58878356
2019-05-02,0.67432
2019-05-03,0.69647473
2019-05-04,0.6347656
2019-05-05,0.585505
2019-05-06,0.6919034
2019-05-07,0.7152825
2019-05-08,0.72038347
2019-05-09,0.7196805
2019-05-10,0.7147059
2019-05-11,0.6428939
2019-05-12,0.5890662
2019-05-13,0.6931943
2019-05-14,0.7160859
2019-05-15,0.7144038
2019-05-16,0.7236085
2019-05-17,0.7080657
2019-05-18,0.6335817
2019-05-19,0.58876085
2019-05-20,0.69326615
2019-05-21,0.7122675
2019-05-22,0.720423
2019-05-23,0.7210326
2019-05-24,0.71768934
2019-05-25,0.6417134
2019-05-26,0.58629596
2019-05-27,0.70343024
2019-05-28,0.72378963
2019-05-29,0.72252876
2019-05-30,0.7196435
2019-05-31,0.72074646
2019-06-01,0.6571138
2019-06-02,0.61013526
2019-06-03,0.7271998
2019-06-04,0.7438039
2019-06-05,0.72801346
2019-06-06,0.7189875
2019-06-07,0.7161461
2019-06-08,0.64911413
2019-06-09,0.59826607
2019-06-10,0.69298565
2019-06-11,0.71761304
2019-06-12,0.721685
2019-06-13,0.7251397
2019-06-14,0.7206988
2019-06-15,0.64982665
2019-06-16,0.6008532
2019-06-17,0.7146254
2019-06-18,0.73689675
2019-06-19,0.7419121
2019-06-20,0.73548824
2019-06-21,0.7327989
2019-06-22,0.6729936
2019-06-23,0.62337965
2019-06-24,0.6880025
2019-06-25,0.7652202
2019-06-26,0.79283243
2019-06-27,0.807875
2019-06-28,0.82115257
2019-06-29,0.75172454
2019-06-30,0.6964746
2019-07-01,0.8050623
2019-07-02,0.8177507
2019-07-03,0.81476635
2019-07-04,0.8139345
2019-07-05,0.816025
2019-07-06,0.73840123
2019-07-07,0.6863797
2019-07-08,0.78329784
2019-07-09,0.78209525
2019-07-10,0.7927182
2019-07-11,0.8212504
2019-07-12,0.8288768
2019-07-13,0.73906523
2019-07-14,0.6672893
2019-07-15,0.7960266
2019-07-16,0.8102571
2019-07-17,0.8054148
2019-07-18,0.8081187
2019-07-19,0.81825495
2019-07-20,0.74416786
2019-07-21,0.691903
2019-07-22,0.8360804
2019-07-23,0.85769695
2019-07-24,0.8601912
2019-07-25,0.83522606
2019-07-26,0.80964696
2019-07-27,0.7057606
2019-07-28,0.63905245
2019-07-29,0.75998473
2019-07-30,0.77382034
2019-07-31,0.7654757
2019-08-01,0.78933424
2019-08-02,0.7843894
2019-08-03,0.7060688
2019-08-04,0.6593744
2019-08-05,0.7723475
2019-08-06,0.7930448
2019-08-07,0.78771245
2019-08-08,0.795639
2019-08-09,0.7954547
2019-08-10,0.716321
2019-08-11,0.6518926
2019-08-12,0.71238536
2019-08-13,0.71339834
2019-08-14,0.7227382
2019-08-15,0.6614173
2019-08-16,0.7158964
2019-08-17,0.6926384
2019-08-18,0.65215546
2019-08-19,0.75006515
2019-08-20,0.75047433
2019-08-21,0.7435086
2019-08-22,0.7467854
2019-08-23,0.7463206
2019-08-24,0.68568593
2019-08-25,0.64038265
2019-08-26,0.75300217
2019-08-27,0.7483341
2019-08-28,0.759404
2019-08-29,0.7781702
2019-08-30,0.7824631
2019-08-31,0.70412457
2019-09-01,0.6582754
2019-09-02,0.77203566
2019-09-03,0.7964925
2019-09-04,0.80273974
2019-09-05,0.7852338
2019-09-06,0.7598354
2019-09-07,0.6772373
2019-09-08,0.6255594
2019-09-09,0.72554314
2019-09-10,0.73101145
2019-09-11,0.6992522
2019-09-12,0.7201752
2019-09-13,0.71099937
2019-09-14,0.6395948
2019-09-15,0.6008046
2019-09-16,0.72211075
2019-09-17,0.7453276
2019-09-18,0.7494393
2019-09-19,0.75040936
2019-09-20,0.7425461
2019-09-21,0.66231376
2019-09-22,0.6069995
2019-09-23,0.70801485
2019-09-24,0.7277303
2019-09-25,0.7380287
2019-09-26,0.7391455
2019-09-27,0.7344267
2019-09-28,0.6536735
2019-09-29,0.5976436
2019-09-30,0.71511245
2019-10-01,0.7414416
2019-10-02,0.73375225
2019-10-03,0.7224046
2019-10-04,0.71906066
2019-10-05,0.63996625
2019-10-06,0.5958223
2019-10-07,0.70681125
2019-10-08,0.72965443
2019-10-09,0.7183063
2019-10-10,0.72576624
2019-10-11,0.71734226
2019-10-12,0.6245599
2019-10-13,0.59190875
2019-10-14,0.7089724
2019-10-15,0.7079475
2019-10-16,0.7114831
2019-10-17,0.71287096
2019-10-18,0.7020133
2019-10-19,0.63852143
2019-10-20,0.59024507
2019-10-21,0.6980119
2019-10-22,0.72867376
2019-10-23,0.7314623
2019-10-24,0.72954893
2019-10-25,0.72100466
2019-10-26,0.6395278
2019-10-27,0.61789787
2019-10-28,0.7055174
2019-10-29,0.7207592
2019-10-30,0.7168132
2019-10-31,0.70677954
2019-11-01,0.61033857
2019-11-02,0.6130913
2019-11-03,0.58574593
2019-11-04,0.7013491
2019-11-05,0.72392124
2019-11-06,0.72680306
2019-11-07,0.7389046
2019-11-08,0.7470951
2019-11-09,0.6747991
2019-11-10,0.6286249
2019-11-11,0.7575595
2019-11-12,0.7735242
2019-11-13,0.7768335
2019-11-14,0.79453725
2019-11-15,0.79440004
2019-11-16,0.71251595
2019-11-17,0.67321664
2019-11-18,0.78418654
2019-11-19,0.81015414
2019-11-20,0.8215763
2019-11-21,0.8157152
2019-11-22,0.81285965
2019-11-23,0.70659655
2019-11-24,0.65796757
2019-11-25,0.7740276
2019-11-26,0.7857544
2019-11-27,0.7745487
2019-11-28,0.7760562
2019-11-29,0.7582472
2019-11-30,0.686811
2019-12-01,0.6490308
2019-12-02,0.77615696
2019-12-03,0.79407144
2019-12-04,0.8027214
2019-12-05,0.7971876
2019-12-06,0.6870102
2019-12-07,0.6777451
2019-12-08,0.65301013
2019-12-09,0.73149705
2019-12-10,0.79442155
2019-12-11,0.81011075
2019-12-12,0.82512176
2019-12-13,0.793677
2019-12-14,0.7039558
2019-12-15,0.6602196
2019-12-16,0.7802951
2019-12-17,0.78694504
2019-12-18,0.7922574
2019-12-19,0.7937285
2019-12-20,0.7574836
2019-12-21,0.6668158
2019-12-22,0.6211883
2019-12-23,0.6755819
2019-12-24,0.6221476
2019-12-25,0.5414525
2019-12-26,0.6322206
2019-12-27,0.6741505
2019-12-28,0.6469631
2019-12-29,0.61726516
2019-12-30,0.689974
2019-12-31,0.6565143
2020-01-01,0.57477677
2020-01-02,0.72352237
2020-01-03,0.7546453
2020-01-04,0.70239085
2020-01-05,0.6519675
2020-01-06,0.6302596
2020-01-07,0.7890316
2020-01-08,0.8201437
2020-01-09,0.8207696
2020-01-10,0.8147598
2020-01-11,0.7325317
2020-01-12,0.69344914
2020-01-13,0.8291579
2020-01-14,0.8444161
2020-01-15,0.8329103
2020-01-16,0.8228273
2020-01-17,0.8076538
2020-01-18,0.729673
2020-01-19,0.6898209
2020-01-20,0.8461069
2020-01-21,0.8621326
2020-01-22,0.8417062
2020-01-23,0.8294271
2020-01-24,0.8211362
2020-01-25,0.7342654
2020-01-26,0.67636925
2020-01-27,0.8076157
2020-01-28,0.8070017
2020-01-29,0.7921625
2020-01-30,0.77820355
2020-01-31,0.76544863
2020-02-01,0.68147194
2020-02-02,0.62501645
2020-02-03,0.72932905
2020-02-04,0.7478928
2020-02-05,0.7589878
2020-02-06,0.76975465
2020-02-07,0.77248853
2020-02-08,0.69819957
2020-02-09,0.6467871
2020-02-10,0.74950445
2020-02-11,0.7610084
2020-02-12,0.76655835
2020-02-13,0.7595322
2020-02-14,0.7539541
2020-02-15,0.67583215
2020-02-16,0.6254534
2020-02-17,0.7397977
2020-02-18,0.76637185
2020-02-19,0.7649413
2020-02-20,0.76365167
2020-02-21,0.7537447
2020-02-22,0.6720725
2020-02-23,0.6208721
2020-02-24,0.73082775
2020-02-25,0.7438207
2020-02-26,0.75340533
2020-02-27,0.75113744
2020-02-28,0.7282926
2020-02-29,0.6702633
2020-03-01,0.6268737
2020-03-02,0.7412963
2020-03-03,0.7693212
2020-03-04,0.75905824
2020-03-05,0.7543652
2020-03-06,0.7579955
2020-03-07,0.6835324
2020-03-08,0.63044286
2020-03-09,0.74041754
2020-03-10,0.7475665
2020-03-11,0.7425614
2020-03-12,0.73808897
2020-03-13,0.72977453
2020-03-14,0.64649755
2020-03-15,0.6004358
2020-03-16,0.7041243
2020-03-17,0.7060506
2020-03-18,0.6847991
2020-03-19,0.641992
2020-03-20,0.64705825
2020-03-21,0.61249214
2020-03-22,0.58351094
2020-03-23,0.65355855
2020-03-24,0.66381973
2020-03-25,0.6646438
2020-03-26,0.6613383
2020-03-27,0.66733575
2020-03-28,0.6056172
2020-03-29,0.54051507
2020-03-30,0.61099607
2020-03-31,0.58507735
